"職缺內容","公司名稱","產業別","工作內容","地區","薪資","網址"
"FinTech資料工程師(台北)【BU68-FHA】","敦陽科技股份有限公司","電腦系統整合服務業","1. 國際FinTech金融科技軟體系統的導入建置、測試及維護
2. 與國外軟體工程師共同解決軟體系統相關問題
3. 金融系統整合之客製化軟體開發，例如：數據資料處理、AI模型建置
4. FinTech金融科技技術、產品研究，例如：洗錢防制(","台北市內湖區","月薪30,000~70,000元","=HYPERLINK(""http:////www.104.com.tw/job/4bs41?jobsource=n_my104_search"")"
"【擴編】資訊工程師/專案副理","CoCo都可_億可國際飲食股份有限公司","飲料店業","1. 總部外部及內部資訊系統 (ITR/ERP/WMS)、管理報表、及電子表單功能開發測試及優化維護
2. 網站系統管理及效能調校、資安防範議題之優化調整、檢測工具之導入及使用
3. 相關資訊系統、OA設備管理、系統網路維運相關庶務工作","台北市士林區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8bqsj?jobsource=hotjob_chr"")"
"應用系統開發人員(僅限至證基會網站報名應徵)","財團法人中華民國證券櫃檯買賣中心","證券及期貨業","必備資格條件
教育部認可之大學(含)以上資訊相關系所畢業。
具下列資格條件者尤佳
1.具.Net程式設計相關經驗。
2.具網站、Web API開發相關經驗。
3.熟悉SQL資料庫語言撰寫設計。
4.具資訊安全軟體開發專家(CSSLP)證照或雲端服務相關證照。","台北市中正區","月薪40,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8g4e5?jobsource=hotjob_chr"")"
"【Ocard顧客經營管家】數據/資料工程師 Data Engineer (擴編招募中)","Ocard_奧理科技股份有限公司","其它軟體及網路相關業","整性、可靠性與效能。
● 資料處理與轉換：開發與管理 ETL（Extract, Transform, Load）流程，將資料從多種來源抽取、清洗並轉換成有用的訊息。
● 資料管道建設：設計並實作資料管道，確保資料能夠從來源順利傳送到分析平台。
●","台北市中山區","年薪580,000~845,000元","=HYPERLINK(""http:////www.104.com.tw/job/8ervj?jobsource=n_my104_search"")"
"後端軟體工程師","滾石移動股份有限公司","網際網路相關業","(1)依業務/PM需求開發應用軟體, 維護Qport及CMS系統，並持續優化並增加功能及串接平台服務
(2)管理資料庫/資料倉儲,與數據工程師合作, 搭建大數據資料分析與應用服務
(3)熟悉並掌握 AWS 服務/架構, 應用於 Backend 服","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a4tl?jobsource=n_my104_search"")"
"【ETL】數據工程師","綠色遊戲有限公司","電腦軟體服務業","1、參與資料庫的設計和實施工作； 
2、負責專案中資料處理相關的大量腳本開發與報表開發工作；
3、負責測試、投產以及投產演練過程中的資料移轉工作。","台北市大安區","年薪600,000~1,800,000元","=HYPERLINK(""http:////www.104.com.tw/job/8cuxs?jobsource=n_my104_search"")"
"大數據ETL工程師","達暉資訊有限公司","電腦系統整合服務業"," °o‧° °o‧° °o‧°

▍必要條件：
※ 具 Python 開發大數據 ETL 流程，二年以上經驗為佳。
※ 具備版本控制及 CI/CD 概念， Git 實際操作經驗。
※ 具備 Hadoop 環境 (CDH、Apache Hadoop)","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8fz8b?jobsource=n_my104_search"")"
"Data Engineer/ 資料工程師","文境資科股份有限公司","專門設計相關業","Data Engineer/ 資料工程師
1.資料稽核(Data Auditing)、收集(Data Collection)、整合作業(Data Integration) 等資料分析前處理作業，有MS Sqlserver資料庫經驗尤佳
2.會撰寫","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7g1tw?jobsource=n_my104_search"")"
"Data Engineer 數據工程師","夏酷科技股份有限公司","電腦軟體服務業","
3. 因應業務需求支援各類型來源資料串接、資料處理，完善資料倉儲
4. 資料 ETL 流程自動化規劃、設計、開發與監控維護

【工作內容】
1. 數據模型 (Data Schema) 設計
    (1) 與團隊合作設計DB/Table","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/803vw?jobsource=n_my104_search"")"
"資產管理部-租賃組-資料工程人員（資深規劃師）","國家住宅及都市更新中心","不動產經營業","統開發等）尤佳。

【其他條件】
1.熟悉建構和優化數據架構，具系統架構規劃、資料庫管理維護、資料庫程式設計、資料庫軟體應用等工作技能。
2.思慮邏輯清晰、善於溝通協調與團隊合作。","台北市中山區","月薪67,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8fip9?jobsource=n_my104_search"")"
"調查研究專題中心-資料工程師","中央研究院_人文社會科學研究中心","其他教育服務業","參與跨媒體影像辨識、自然語言處理、機器學習等相關技術，並結合問卷調查資料分析，研究重要社會議題。

1. 爬蟲程式開發與維護。
2. 資料處理（以Pandas為主，並熟悉各類檔案、資料庫資料存取）。
3. 資料分析（可重現相關研究分析，並改動、客","台北市南港區","月薪37,240元以上","=HYPERLINK(""http:////www.104.com.tw/job/8cywt?jobsource=n_my104_search"")"
"資深 AI 軟體資料工程師 - Senior AI Software Data Engineer","頑碼資訊有限公司","電腦軟體服務業","▋【工作內容】
- 負責開發 RAG 以及 AI Agent 平台等應用，及其他延伸功能開發
- 依照客戶需求運用 AI Agent 平台制定客製化 AI 解決方案以滿足其特定要求
- 執行 AI 專案，協助客戶清洗資料
- 解決客戶 AI 助理","台北市中山區","年薪800,000~900,000元","=HYPERLINK(""http:////www.104.com.tw/job/8fuih?jobsource=n_my104_search"")"
"資料庫開發工程師","凱衛資訊股份有限公司","電腦系統整合服務業","我們正在尋找資料庫應用開發人員，業務擴展中正在徵求夥伴加入！
專案為【反洗錢專案】，必要時須派駐到金融單位。

《我們在找這樣的夥伴》
【必要條件】
熟悉Oracle或MS SQL或MySQL資料庫應用

【加分條件】
具ETL或Pentaho使","台北市松山區","月薪33,000~45,000元","=HYPERLINK(""http:////www.104.com.tw/job/8dkyp?jobsource=n_my104_search"")"
"PLSQL ETL工程師","一騰資訊服務股份有限公司","電腦軟體服務業","【職務需求】
1. PLSQL程式能力
2. 具備ETL概念及熟悉SQL語法

【工作內容】
1. 開發文件撰寫
2. 程式開發
3. 主管交付事宜

【在這裡你可以】
● 參與銀行系統專案，踏入金融產業的好跳板，獲得更多銀行微服務業務邏輯的經驗","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/87wai?jobsource=n_my104_search"")"
"【數位驅動】資料科學工程師_數據應用 (數數發中心, DDT)_I00014665","國泰世華商業銀行股份有限公司_人力資源部","銀行業","【主要職責 Who we are looking for】 
負責企業資料倉儲及數據應用平台之建置/開發/管理。 

【主要職責 Who we are looking for】 
負責企業資料倉儲及數據應用平台之建置/開發/管理。 

【職務說明","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a39r?jobsource=n_my104_search"")"
"資料採集與處理工程師","新加坡商胖迪科技股份有限公司台灣分公司","網際網路相關業","資料集，包括但不限於以下工作內容：
1.⁠ ⁠基於分析、模擬、逆向工程等手段取得網路公開資料；
2.⁠ ⁠透過技術手段提高資料採集的品質和數量；
3.⁠ ⁠參與NLP大模型的資料清洗工作，包括但不限於資料格式轉換，內容抽取等；
4.⁠ ⁠深入了解","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8fvp9?jobsource=n_my104_search"")"
"【數位驅動】資料科學工程師_Data (數數發中心，DDT)_I00011494","國泰世華商業銀行股份有限公司_人力資源部","銀行業","1. Hive資料市集設計、開發、管理維護
2. ETL 問題追蹤與管理
3. 資料處理與整合
4. 用資料導向概念提升各類業務，並導入系統以加強各項資料應用
5. 協助資料研究及分析過程中需要的資料處理
6. 導檔排程優化/維運
7. 協助導檔","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/87176?jobsource=n_my104_search"")"
"策略發展_數據智能人員","O-Bank_王道商業銀行股份有限公司","銀行業","1.執行本行數據治理應用發展策略行動計畫，以數據科技為核心驅動各業務場景轉型升級。
2.協助並促進跨單位數據應用合作，有效運用合作成效發揮數據影響力。
3.協助規劃、整合及打造高效大數據智能平台，持續強化穩定發展之數據工程基石。
4.數據科技平台","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8c88n?jobsource=n_my104_search"")"
"I107 資料分析/數據工程師(可遠端工作)","台灣大哥大股份有限公司","電信相關業","角度思考，提出各種可行的方案

A.	資料工程：
	■負責資料擷取及處理之ETL開發及維運
	■負責通路報表系統優化
	■通路業績日月報相關需求開發與維運
	■雲端通路即時戰報相關需求開發與維運

B.	資料分析：
	■負責數據資安產品開發
	■負","台北市大安區","月薪34,000~60,000元","=HYPERLINK(""http:////www.104.com.tw/job/7osnc?jobsource=n_my104_search"")"
"Sr. Data Engineer","香港商壹航人事顧問有限公司台灣分公司","人力仲介代徵","【Responsibilities】
與數據科學家、軟體工程師和相關部門、人員緊密合作，開發並實施改變交通運輸系統的數據驅動解決方案。
設計和建立可擴展且高效的數據管道和 ETL 流程，以收集、處理和儲存大量數據，在我們的數據工程中發揮關鍵作用。","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8h3kb?jobsource=n_my104_search"")"
"項目負責人","川石整合有限公司","其他投資理財相關業","【工作內容】
1. 熟悉系統架構與開發核心功能
2. 掌控整體開發進度
3. 善於與營運方和技術人員之間的溝通
4. 協助制定所有新開發計劃的系統設計和功能規格
5. 參與整體測試規劃
6. 環境參數調教與設計防禦機制

【必要條件】
1. 對德州撲克遊戲規則與玩法要有基本的了解
2. 具備3年遊戲相關經驗
3. 具備程式開發能力(Golang)
4. 具備2年雲端伺服器使用經驗(AWS)","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8gs99?jobsource=hotjob_chr"")"
"軟體助理工程師","博格科技股份有限公司","電腦軟體服務業","本公司為台灣企業流程軟體領導品牌，擁有上百家成功案例，服務客戶為80%以上之上市櫃公司。因應應用市場的成長，擴大招募銷售服務的團隊，希望有興趣在企業軟體產業發展的伙伴加入。
主要工作內容下:
1.人格特質：反應靈敏機伶、主動積極勤快、高EQ、學習力強、細心
2.在主管帶領下進行軟體協同表單開發撰寫
 (1).前端網頁以Html5、JQuery應用為主。
 (2).後端網頁以MVC、 .Net c#、SQL Server應用為主 。 
3.資訊相關科系畢業、 需有 C# 及 MS SQL 基礎","台北市大安區","月薪32,000~35,000元","=HYPERLINK(""http:////www.104.com.tw/job/54z7k?jobsource=hotjob_chr"")"
"ETL 資料分析程式設計師","碩誠國際股份有限公司","電腦軟體服務業"," Oracle)經驗，熟悉DB架構及基本設定。
2. 熟悉資料庫工具操作(如Oracle SQL Developer, SQL Server Managerment Studio)。
3. 熟悉Windows及Linux等作業系統基本操作。
4. 有ETL開發","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/6f1b4?jobsource=n_my104_search"")"
"台灣前三大金融集團【數據應用工程師】G19/G50","精英人力資源股份有限公司","人力仲介代徵","台灣前三大金融集團針對【數據應用工程師】積極招募中!
歡迎熱愛金融領域，擁有卓越的溝通技巧與團隊合作精神的你應徵。

工作內容：
1. 負責使用者需求訪談，完成系統可行性分析。
2. 負責數據資訊系統分析與設計，制定系統規格及開發設計作業。包含:","台北市南港區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/83pzy?jobsource=n_my104_search"")"
"【數位驅動】中台發展ETL Data工程師 / ETL Data Engineer_I00011673","國泰世華商業銀行股份有限公司_人力資源部","銀行業","作進行數位、數據、核心轉置及Open API等專案之ETL Data及批次作業相關工作，內容包含以下項目：

1.服務資料下檔之ETL批次流程開發
2.資料產製及清除作業運營優化
3.批次作業的研發，如運用容器、開源項目優化等
4.持續研究資料處理","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/87ctk?jobsource=n_my104_search"")"
"資料工程師_資訊處(內湖)","台達電子工業股份有限公司 _DELTA ELECTRONICS INC.","其他電子零組件相關業","和技巧，能夠設計和實現適合的數據架構，以支持業務需求和分析。
3.數據工程:熟悉ELT與ETL的流程開發與管理以及監控(Nifi, Airflow, SSIS…etc)。
4.開發語言: Python or Java / C#。

《","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/82tip?jobsource=n_my104_search"")"
"資訊處-數據工程師","永豐商業銀行股份有限公司","銀行業","1. 資料倉儲及ETL維運營及監控，包含各式問題排解及簡化監控方式
2. 數據平台資料導入的自動化流程設計及開發
3. 建立ETL Server與上下游各系統的串接管道
4. ETL相關SQL撰寫
5. 大數據應用開發測試驗證
6. 系統日常維運","台北市松山區","月薪38,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/87gr6?jobsource=n_my104_search"")"
"Python 資料工程師","特力集團_特力股份有限公司","綜合商品批發代理業","【工作內容】
1. 顧客輪廓分析與分群
    -會員資料的應用與分析
    -會員資料的洞察與歸戶整理
    -會員行銷名單提供
2. 銷售預測
3. 顧客流失預測
4. 進行分析所需之A/B測試及模型預測

【專業能力】
1.","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8g3d3?jobsource=n_my104_search"")"
"工程資料處理專員(總公司)","安倉營造股份有限公司","建築工程業","1.行政資料處理與歸檔作業。
2.根據需求，協助編寫Excel巨集、VBA。
3.主管交辦事項。","台北市中山區","月薪50,000~60,000元","=HYPERLINK(""http:////www.104.com.tw/job/8dxar?jobsource=n_my104_search"")"
"P7-Python資料工程師","意藍資訊股份有限公司","網際網路相關業","本公司是國內搜尋及語意分析市占率最高的廠商，專注研發非結構資料之數據處理，尋找熟悉Python及物件導向設計的人才加入。工作主要為開發與維運資料產線，搜集語料、資料儲存處理，並提供API服務供下游服務使用。

工作內容如下：
- 資料搜集程式開發","台北市大安區","月薪35,000~45,000元","=HYPERLINK(""http:////www.104.com.tw/job/7csnw?jobsource=n_my104_search"")"
"資料架構師 Data Architect【聯想感】","股感資訊股份有限公司","網際網路相關業","1. 設計/評估/建構 Database & warehouse，包括數據測試、數據監控、品質管理等方式。
2. 設計/評估/建構 Data Pipeline。
3. 協助/建議 領域專家數據清理，分析手法，結果解讀， 數據視覺化。
4. 資料倉儲","台北市松山區","月薪60,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8fx8x?jobsource=n_my104_search"")"
"數據倉儲工程師（DW Engineer）","拍付國際資訊股份有限公司","網際網路相關業","【工作職責】
- 設計、開發及維護ETL流程，以確保數據的準確性和一致性。
- 撰寫及優化存儲程序，以提高數據處理效率。
- 分析和理解業務需求，並將其轉化為數據解決方案。
- 負責數據的生成和報表的製作。
- 確保數據倉儲系統的性能和穩定性，並","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8ekcp?jobsource=n_my104_search"")"
"維運工程師(主機網路資料庫管理維運)","凱衛資訊股份有限公司","電腦系統整合服務業","【凱衛資訊歡迎您的加入】 
我們正在尋找有意在⾦融資訊業⻑期發展的硬體網管資料庫工程師

【這份工作有機會參與】
1.加入我們，你將有機會成為⾦融資訊業的關鍵力量，參與公司內部系統維運和客戶端IT相關作業輔導與建議。
2.你的工作將直接影響公司內","台北市松山區","月薪35,000~70,000元","=HYPERLINK(""http:////www.104.com.tw/job/89u4e?jobsource=n_my104_search"")"
"【資訊板塊】資料科學工程師 (數數發中心,DDT)","國泰世華商業銀行股份有限公司_人力資源部","銀行業","【職務說明 What will you do】
1.數據介接、清洗、處理與數據模型的程式開發
2.網路爬蟲、數據工程 API 程式撰寫
3.與數據分析師合作，進行機器學習、深度學習與統計分析模型的維運化程式開發
4.ETL Pipline 的工具","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7veyg?jobsource=n_my104_search"")"
"Data Engineer","睿控網安股份有限公司","電腦軟體服務業","我們正在尋找一位資料工程師，該職位將負責設計和構建資料管道和資料基礎設施，支持公司各種資料分析和財務預測項目的順利進行。您將與資料分析師合作，確保資料的準確性、一致性和高效處理。

職責：
1.	資料集成與ETL流程
	- 設計和實施ETL（提取","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8b9pi?jobsource=n_my104_search"")"
"1. AI資料工程師(AI網站系統)","易勝資訊股份有限公司","電腦軟體服務業","　
【必要條件】
✔ 精通Python語言，具備實現複雜數據處理和分析的能力
✔ 設計並實現RAG pipeline，將資料檢索與生成模型結合
✔ 負責構建和維護資料檢索系統，優化查詢效率和結果準確性
✔ 使用向量數據庫進行資料存儲和檢索
✔ 熟","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8f6qn?jobsource=n_my104_search"")"
"Data Scientist / Data Engineer","莫比機器人股份有限公司","電腦軟體服務業","1.	負責大數據相關產品研發以及核心平台開發建置。
2.	執行資料收集、清理、轉換等相關資料前處理作業，確保資料品質。
3.	使用特徵工程或資料科學方式建立資料模型與完善數據指標。
4.	理解數據需求，完成資料分析以及資料可視化等相關應用。
5.","台北市大安區","月薪45,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8ctvr?jobsource=n_my104_search"")"
